id	parent_id	scientific_name	rank	extinct	english_label	wikidata_id	wikipedia_url	source_id
3223	8S2J8	Archeohomaloplia	genus	false				1027
322DL	3WSS	Cryptoscenea australiensis	species	false	Cryptoscenea australiensis	Q2360085	https://en.wikipedia.org/wiki/Cryptoscenea_australiensis	1055
322KX	3WT8	Cryptospiza jacksoni	species	false	Cryptospiza jacksoni	Q582282	https://en.wikipedia.org/wiki/Dusky_crimsonwing	2144
322KY	3WT8	Cryptospiza reichenovii	species	false	Cryptospiza reichenovii	Q1077291	https://en.wikipedia.org/wiki/Red-faced_crimsonwing	2144
322KZ	3WT8	Cryptospiza salvadorii	species	false	Cryptospiza salvadorii	Q1034934	https://en.wikipedia.org/wiki/Abyssinian_crimsonwing	2144
322L2	3WT8	Cryptospiza shelleyi	species	false	Cryptospiza shelleyi	Q930263	https://en.wikipedia.org/wiki/Shelley%27s_crimsonwing	2144
322XC	3WTZ	Cryptosylvicola randrianasoloi	species	false	Cryptic Warbler	Q1588019	https://en.wikipedia.org/wiki/Cryptic_warbler	2144
323B3	62Q9W	Cryptotis brachyonyx	species	false	Eastern Cordillera small-footed shrew	Q1769553	https://en.wikipedia.org/wiki/Eastern_Cordillera_small-footed_shrew	2144
323B6	62Q9W	Cryptotis endersi	species	false	Enders's small-eared shrew	Q307023	https://en.wikipedia.org/wiki/Enders%27s_small-eared_shrew	2144
323B7	62Q9W	Cryptotis equatoris	species	false	Ecuadorian small-eared shrew	Q1765151	https://en.wikipedia.org/wiki/Ecuadorian_small-eared_shrew	2144
323B8	62Q9W	Cryptotis goldmani	species	false	Goldman's broad-clawed shrew	Q1765218	https://en.wikipedia.org/wiki/Goldman%27s_broad-clawed_shrew	2144
323B9	62Q9W	Cryptotis goodwini	species	false	Goodwin's broad-clawed shrew	Q1762818	https://en.wikipedia.org/wiki/Goodwin%27s_broad-clawed_shrew	2144
323BB	62Q9W	Cryptotis griseoventris	species	false	Guatemalan broad-clawed shrew	Q1768220	https://en.wikipedia.org/wiki/Guatemalan_broad-clawed_shrew	2144
323BC	62Q9W	Cryptotis hondurensis	species	false	Honduran small-eared shrew	Q282609	https://en.wikipedia.org/wiki/Honduran_small-eared_shrew	2144
323BH	62Q9W	Cryptotis meridensis	species	false	Merida Small-eared Shrew	Q1765979	https://en.wikipedia.org/wiki/Merida_small-eared_shrew	2144
